Categoría: Todas las categorías;
;
Semana;Bariloche: (Todo el mundo)
3/3/2019;58
10/3/2019;51
17/3/2019;53
24/3/2019;49
31/3/2019;46
7/4/2019;50
14/4/2019;53
21/4/2019;49
28/4/2019;51
5/5/2019;47
12/5/2019;52
19/5/2019;54
26/5/2019;62
2/6/2019;57
9/6/2019;60
16/6/2019;60
23/6/2019;75
30/6/2019;74
7/7/2019;78
14/7/2019;92
21/7/2019;100
28/7/2019;78
4/8/2019;67
11/8/2019;63
18/8/2019;65
25/8/2019;60
1/9/2019;62
8/9/2019;54
15/9/2019;56
22/9/2019;51
29/9/2019;53
6/10/2019;53
13/10/2019;53
20/10/2019;49
27/10/2019;53
3/11/2019;60
10/11/2019;55
17/11/2019;61
24/11/2019;62
1/12/2019;51
8/12/2019;52
15/12/2019;57
22/12/2019;69
29/12/2019;79
5/1/2020;92
12/1/2020;86
19/1/2020;83
26/1/2020;81
2/2/2020;84
9/2/2020;81
16/2/2020;76
23/2/2020;67
1/3/2020;66
8/3/2020;57
15/3/2020;40
22/3/2020;25
29/3/2020;28
5/4/2020;32
12/4/2020;30
19/4/2020;28
26/4/2020;28
3/5/2020;31
10/5/2020;33
17/5/2020;31
24/5/2020;29
31/5/2020;30
7/6/2020;32
14/6/2020;32
21/6/2020;37
28/6/2020;37
5/7/2020;34
12/7/2020;33
19/7/2020;33
26/7/2020;36
2/8/2020;33
9/8/2020;31
16/8/2020;30
23/8/2020;30
30/8/2020;31
6/9/2020;28
13/9/2020;28
20/9/2020;27
27/9/2020;30
4/10/2020;30
11/10/2020;26
18/10/2020;33
25/10/2020;31
1/11/2020;30
8/11/2020;34
15/11/2020;36
22/11/2020;37
29/11/2020;37
6/12/2020;43
13/12/2020;45
20/12/2020;42
27/12/2020;51
3/1/2021;67
10/1/2021;69
17/1/2021;63
24/1/2021;64
31/1/2021;63
7/2/2021;67
14/2/2021;59
21/2/2021;52
28/2/2021;55
7/3/2021;52
14/3/2021;48
21/3/2021;43
28/3/2021;47
4/4/2021;44
11/4/2021;35
18/4/2021;42
25/4/2021;34
2/5/2021;34
9/5/2021;36
16/5/2021;34
23/5/2021;31
30/5/2021;36
6/6/2021;36
13/6/2021;45
20/6/2021;47
27/6/2021;50
4/7/2021;57
11/7/2021;63
18/7/2021;62
25/7/2021;63
1/8/2021;53
8/8/2021;56
15/8/2021;68
22/8/2021;66
29/8/2021;51
5/9/2021;51
12/9/2021;48
19/9/2021;49
26/9/2021;51
3/10/2021;51
10/10/2021;56
17/10/2021;54
24/10/2021;59
31/10/2021;60
7/11/2021;52
14/11/2021;58
21/11/2021;57
28/11/2021;58
5/12/2021;64
12/12/2021;63
19/12/2021;57
26/12/2021;87
2/1/2022;89
9/1/2022;87
16/1/2022;88
23/1/2022;78
30/1/2022;77
6/2/2022;75
13/2/2022;76
20/2/2022;74
27/2/2022;65
6/3/2022;63
13/3/2022;64
20/3/2022;63
27/3/2022;56
3/4/2022;56
10/4/2022;57
17/4/2022;60
24/4/2022;63
1/5/2022;55
8/5/2022;54
15/5/2022;52
22/5/2022;58
29/5/2022;61
5/6/2022;92
12/6/2022;61
19/6/2022;66
26/6/2022;66
3/7/2022;75
10/7/2022;76
17/7/2022;78
24/7/2022;79
31/7/2022;70
7/8/2022;71
14/8/2022;70
21/8/2022;59
28/8/2022;55
4/9/2022;59
11/9/2022;65
18/9/2022;56
25/9/2022;49
2/10/2022;60
9/10/2022;54
16/10/2022;52
23/10/2022;54
30/10/2022;52
6/11/2022;54
13/11/2022;52
20/11/2022;47
27/11/2022;50
4/12/2022;52
11/12/2022;53
18/12/2022;52
25/12/2022;71
1/1/2023;88
8/1/2023;88
15/1/2023;88
22/1/2023;83
29/1/2023;77
5/2/2023;78
12/2/2023;81
19/2/2023;71
26/2/2023;68
5/3/2023;67
12/3/2023;65
19/3/2023;58
26/3/2023;65
2/4/2023;63
9/4/2023;61
16/4/2023;68
23/4/2023;65
30/4/2023;58
7/5/2023;57
14/5/2023;60
21/5/2023;65
28/5/2023;66
4/6/2023;66
11/6/2023;69
18/6/2023;69
25/6/2023;77
2/7/2023;84
9/7/2023;88
16/7/2023;85
23/7/2023;80
30/7/2023;73
6/8/2023;72
13/8/2023;68
20/8/2023;66
27/8/2023;71
3/9/2023;79
10/9/2023;69
17/9/2023;59
24/9/2023;56
1/10/2023;58
8/10/2023;56
15/10/2023;55
22/10/2023;60
29/10/2023;59
5/11/2023;61
12/11/2023;64
19/11/2023;58
26/11/2023;62
3/12/2023;64
10/12/2023;63
17/12/2023;60
24/12/2023;70
31/12/2023;83
7/1/2024;85
14/1/2024;78
21/1/2024;77
28/1/2024;70
4/2/2024;76
11/2/2024;67
18/2/2024;65
25/2/2024;63
