Localidad,Latitud,Longitud
Bahía Blanca,-38.7196,-62.2724
Bariloche,-41.1335,-71.3100
CABA,-34.6118,-58.4173
Cafayate,-26.0700,-65.9780
Calafate,-50.3378,-72.2645
Carlos Paz,-31.4241,-64.4978
Catamarca,-28.4696,-65.7852
Córdoba,-31.4201,-64.1888
Corrientes,-27.4698,-58.8309
Formosa,-26.1775,-58.1789
Gualeguaychú,-33.0144,-58.5176
Jujuy,-24.1855,-65.2995
La Angostura,-40.7612,-71.6372
La Falda,-31.0976,-64.4869
La Rioja,-29.4135,-66.8561
Las Grutas,-40.8135,-65.1130
Malargue-Las Leñas,-35.4775,-69.5843
Mar Chiquita,-37.7667,-57.1667
Mar del Plata,-38.0055,-57.5426
Mendoza,-32.8895,-68.8458
Merlo,-32.3422,-65.0024
Mina Clavero,-31.7217,-65.0048
Neuquén,-38.9516,-68.0591
Paraná,-31.7413,-60.5115
Pinamar,-37.1076,-56.8637
Posadas,-27.3671,-55.8961
Puerto Iguazú,-25.5972,-54.5786
Puerto Madryn,-42.7692,-65.0385
Rafaela,-31.2453,-61.4919
Resistencia,-27.4510,-58.9860
Río Cuarto,-33.1232,-64.3493
Rio Gallegos,-51.6226,-69.2181
Rosario,-32.9513,-60.6666
Salta,-24.7859,-65.4117
San Juan,-31.5375,-68.5364
San Luis,-33.2990,-66.3356
San Martín de los Andes,-40.1575,-71.3500
San Rafael,-34.6177,-68.3302
Santa Fe,-31.6107,-60.6995
Santa Rosa,-36.6200,-64.2999
Santiago del Estero,-27.7951,-64.2615
Tandil,-37.3217,-59.1332
Termas,-27.4848,-64.8625
Tucumán,-26.8083,-65.2176
Ushuaia,-54.8019,-68.3030
Valle de Uco,-33.6687,-69.1693
Viedma,-40.8135,-62.9967
Villa General Belgrano,-31.9795,-64.5293
Villa Gesell,-37.2634,-56.9730
